Timestamp,Equipe,Piloto,Volta,Pos_Geral,Pos_Classe,Tempo,Consumo_Volta,Combustivel_Restante,Voltas_Restantes_Estimadas
15:15:31,Tomaz Nunes,Tomaz Nunes,1,21,11,99.442,0.0,48.305,5.03
15:17:19,Tomaz Nunes,Tomaz Nunes,2,40,11,99.442,0.839,47.466,3.94
