Timestamp,Pista,Equipe,Piloto,Volta,Tempo,Media_3_Voltas,Consumo_Volta,Combustivel_Restante,Pos_Geral,Pos_Classe,Voltas_Restantes_Estimadas
17:58:35,Summit Point Raceway,Tomaz Nunes,Tomaz Nunes,1,96.901,96.901,0.0,48.038,14,4,5.19
17:59:59,Summit Point Raceway,Tomaz Nunes,Tomaz Nunes,2,83.27,90.085,0.912,47.127,21,11,4.65
18:01:27,Summit Point Raceway,Tomaz Nunes,Tomaz Nunes,3,88.119,89.43,0.982,46.145,24,11,3.69
18:02:52,Summit Point Raceway,Tomaz Nunes,Tomaz Nunes,4,84.274,85.221,0.958,45.186,24,11,2.89
18:04:15,Summit Point Raceway,Tomaz Nunes,Tomaz Nunes,5,83.58,85.324,0.923,44.264,23,11,1.91
18:05:35,Summit Point Raceway,Tomaz Nunes,Tomaz Nunes,6,80.346,82.733,0.904,43.36,20,10,1.0
18:06:57,Summit Point Raceway,Tomaz Nunes,Tomaz Nunes,7,81.308,81.745,0.924,42.436,17,7,0.01
18:08:20,Summit Point Raceway,Tomaz Nunes,Tomaz Nunes,8,83.268,81.641,0.953,41.484,13,3,8.34
