Timestamp,Pista,Equipe,Piloto,Volta,Tempo,Media_3_Voltas,Consumo_Volta,Combustivel_Restante,Pos_Geral,Pos_Classe,Voltas_Restantes_Estimadas
16:20:37,Summit Point Raceway,Tomaz Nunes,Tomaz Nunes,1,94.715,94.715,0.0,48.311,11,1,5.33
16:22:02,Summit Point Raceway,Tomaz Nunes,Tomaz Nunes,2,94.715,94.715,0.855,47.456,20,10,4.43
16:23:25,Summit Point Raceway,Tomaz Nunes,Tomaz Nunes,3,84.857,91.429,0.908,46.548,21,11,3.68
16:24:49,Summit Point Raceway,Tomaz Nunes,Tomaz Nunes,4,83.294,87.622,0.915,45.633,21,11,2.89
16:26:12,Summit Point Raceway,Tomaz Nunes,Tomaz Nunes,5,83.822,83.991,0.903,44.73,20,10,2.03
16:27:34,Summit Point Raceway,Tomaz Nunes,Tomaz Nunes,6,82.727,83.281,0.908,43.822,19,9,1.06
16:28:56,Summit Point Raceway,Tomaz Nunes,Tomaz Nunes,7,82.428,82.993,0.9,42.922,17,7,0.07
16:30:20,Summit Point Raceway,Tomaz Nunes,Tomaz Nunes,8,83.167,82.774,0.94,41.981,16,6,8.38
